source	asserted_behavior	scope	subsystem	js_test_or_reason	status	rationale
pdfjs/test/font/font_core_spec.js:10	returns output	pdfjs-capability	text	Adapt only if the pdf.js font capability remains a named fallback or differential capability.	needs-adapted-js-test	Font parser behavior is a pdf.js capability contract only where pdfplumber.js depends on it.
pdfjs/test/font/font_fpgm_spec.js:15	table was truncated in the middle of functions	pdfjs-capability	text	Adapt only if the pdf.js font capability remains a named fallback or differential capability.	needs-adapted-js-test	Font parser behavior is a pdf.js capability contract only where pdfplumber.js depends on it.
pdfjs/test/font/font_os2_spec.js:19	has invalid version number	pdfjs-capability	text	Adapt only if the pdf.js font capability remains a named fallback or differential capability.	needs-adapted-js-test	Font parser behavior is a pdf.js capability contract only where pdfplumber.js depends on it.
pdfjs/test/font/font_os2_spec.js:43	has invalid selection attributes presence	pdfjs-capability	text	Adapt only if the pdf.js font capability remains a named fallback or differential capability.	needs-adapted-js-test	Font parser behavior is a pdf.js capability contract only where pdfplumber.js depends on it.
pdfjs/test/font/font_post_spec.js:23	has invalid version number	pdfjs-capability	text	Adapt only if the pdf.js font capability remains a named fallback or differential capability.	needs-adapted-js-test	Font parser behavior is a pdf.js capability contract only where pdfplumber.js depends on it.
pdfjs/test/font/font_post_spec.js:49	has invalid glyph name indexes	pdfjs-capability	text	Adapt only if the pdf.js font capability remains a named fallback or differential capability.	needs-adapted-js-test	Font parser behavior is a pdf.js capability contract only where pdfplumber.js depends on it.
pdfjs/test/font/font_post_spec.js:71	has right amount of glyphs specified	pdfjs-capability	text	Adapt only if the pdf.js font capability remains a named fallback or differential capability.	needs-adapted-js-test	Font parser behavior is a pdf.js capability contract only where pdfplumber.js depends on it.
pdfjs/test/font/font_test.html	Upstream support/fixture file: font_test.html	excluded	text	Support code for upstream tests, not a pdfplumber.js runtime behavior.	excluded	Harness helpers and local upstream utilities are not exposed by this library.
pdfjs/test/font/fontutils.js	Upstream JS support/spec file with no direct it()/test() inventory: fontutils.js	excluded	text	Support code for upstream tests, not a pdfplumber.js runtime behavior.	excluded	Harness helpers and local upstream utilities are not exposed by this library.
pdfjs/test/font/jasmine-boot.js	Upstream JS support/spec file with no direct it()/test() inventory: jasmine-boot.js	excluded	text	Support code for upstream tests, not a pdfplumber.js runtime behavior.	excluded	Harness helpers and local upstream utilities are not exposed by this library.
pdfjs/test/font/README.md	Upstream support/fixture file: README.md	excluded	text	Support code for upstream tests, not a pdfplumber.js runtime behavior.	excluded	Harness helpers and local upstream utilities are not exposed by this library.
pdfjs/test/font/ttxdriver.mjs	Upstream JS support/spec file with no direct it()/test() inventory: ttxdriver.mjs	excluded	text	Support code for upstream tests, not a pdfplumber.js runtime behavior.	excluded	Harness helpers and local upstream utilities are not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:134	must check that some spans are linked to some annotations thanks to aria-owns	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:158	must check that the text fields are in the visual order	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:194	must check the id in aria-controls	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:212	must check the aria-label linked to the stamp annotation	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:228	must check that the stamp annotation is linked to the struct tree	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:259	must check that an image is correctly inserted in the text layer	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:320	must check that the MathML is correctly inserted	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:355	must check that the MathML is correctly inserted	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:383	must check that the MathML is correctly inserted	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:415	must check that some artifacts are aria-hidden	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:469	must check that the text in text layer is aria-hidden	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:49	must build structure that maps to text layer	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:500	must check that the MathML is not duplicated in the struct tree	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:555	must check that the table has the right structure	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/accessibility_spec.mjs:90	must check that the struct tree is still there after zooming	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:118	must let checkboxes with the same name behave like radio buttons	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:154	must check the checkbox	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:179	must check the checkbox	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:209	must update all the fields with the same value	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:238	must reset a formatted value after a change	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:270	must click on a link and check if it navigates to the correct page	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:312	must let checkboxes with the same name behave like radio buttons	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:40	must check the popup position in the DOM	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:413	must reset all fields	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:463	must reset some fields	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:541	must check that the FreeText annotation has a popup	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:570	must check that the Ink annotation has a popup	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:59	must show a popup on mouseover	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:606	must check the content of the text field	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:634	must check that the popup has the correct visibility	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:690	must check that the highlight annotation has no popup and no aria-haspopup attribute	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:722	must check that the clickable area has been rotated	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:760	must check that the text under a highlight annotation exist in the DOM	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:772	must check that the text under an underline annotation exist in the DOM	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:784	must check that the text under a squiggly annotation exist in the DOM	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
pdfjs/test/integration/annotation_spec.mjs:798	must check that the text under a strikeout annotation exist in the DOM	excluded	viewer-ui	PDF.js browser viewer integration behavior is outside the pdfplumber.js public API.	excluded	Integration tests primarily cover viewer UI, visual layers, editors, and browser interactions not exposed by this library.
